Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
0,2,2,2,100,2,5,40,0.57,0,0,31,138,90,493,0.37,5,18,12,43,47,0.915,1,2,0,19,143,18,0.89,6,0,1,8,0,9,1,0,13,0.9,9,1,0,0,1,20,0,6,12
1,0,0,0,0,6,6,100,1,1,2,24,159,116,501,0.63,2,18,10,85,93,0.914,1,1,1,19,59,18,0.77,8,1,0,6,1,13,0,1,9,1,12,0,0,0,0,21,1,9,9
2,4,1,4,25,3,5,60,0.44,0,1,30,101,115,409,0.51,10,25,10,67,72,0.931,3,3,1,16,87,14,0.86,5,1,0,6,1,11,1,3,18,0.917,14,1,0,0,1,31,1,6,13
3,1,1,1,100,2,4,50,0.6,1,2,32,77,100,330,0.49,2,14,5,61,71,0.859,14,1,0,18,108,25,0.81,6,0,1,5,0,18,3,1,11,0.857,13,1,0,0,0,16,0,6,14
4,1,1,1,100,1,8,12.5,0.22,0,0,16,177,130,524,0.66,6,13,16,78,82,0.951,4,4,1,20,56,7,0.89,8,0,0,8,1,13,1,5,6,0.929,8,2,0,0,1,10,0,8,15
5,2,1,2,50,2,2,100,0.75,0,0,23,79,76,420,0.34,5,7,10,36,39,0.923,1,1,1,12,121,13,0.9,8,0,0,8,1,6,5,1,13,0.545,15,1,0,0,0,18,1,8,8
0,0,0,0,0,4,5,80,0.8,1,4,38,85,59,223,0.41,1,9,2,47,48,0.979,3,3,1,7,117,10,0.92,5,3,1,8,1,15,2,2,15,0.882,12,0,0,0,1,15,1,8,7
3,0,0,0,0,3,6,50,0.5,0,0,39,114,102,234,0.59,0,10,5,79,84,0.94,10,1,1,21,58,9,0.87,8,1,3,5,1,15,2,2,15,0.882,7,0,0,0,0,9,0,9,12
6,4,3,4,75,1,3,33.33333333,0.57,0,0,22,99,88,388,0.38,9,15,4,57,61,0.934,1,2,0,9,174,28,0.86,3,2,2,2,0,7,4,3,14,0.636,12,0,0,0,1,29,1,5,8
7,3,3,3,100,0,3,0,0.5,0,0,25,206,155,573,0.62,9,28,14,10,1,0.944,2,2,1,15,92,15,0.86,2,2,2,3,1,14,3,4,7,0.824,8,0,0,0,0,21,0,4,12
8,1,0,1,0,4,6,66.66666667,0.57,0,0,26,111,109,380,0.58,5,10,6,67,72,0.931,5,6,0,22,63,14,0.82,4,1,0,7,0,17,1,2,15,0.944,11,0,0,0,1,17,0,5,14
9,3,3,3,100,2,5,40,0.62,0,0,30,91,74,214,0.42,2,14,10,43,49,0.878,4,4,1,11,119,10,0.92,7,0,1,4,1,15,2,1,17,0.882,14,1,0,0,0,27,1,7,11
2,2,1,2,50,5,5,100,0.86,0,0,38,90,97,521,0.61,5,18,9,54,60,0.9,7,7,1,20,55,14,0.8,11,1,3,4,1,10,0,1,7,1,11,0,0,0,1,27,1,12,11
10,0,0,0,0,3,3,100,1,0,0,33,114,70,448,0.39,5,14,9,39,43,0.907,0,0,0,17,92,18,0.84,4,3,1,11,0,7,1,0,10,0.875,11,1,0,0,0,9,0,7,11
1,1,1,1,100,6,6,100,1,3,1,28,98,65,313,0.4,4,9,3,46,50,0.92,2,2,1,11,118,11,0.91,9,2,1,8,1,9,2,2,14,0.818,13,2,0,0,1,34,1,11,9
11,1,1,1,100,1,2,50,0.67,0,0,11,107,100,332,0.6,1,11,2,81,88,0.92,8,10,0,19,63,9,0.88,8,1,2,9,0,14,2,2,9,0.875,9,0,0,0,0,10,0,9,13
12,6,5,6,83.33333333,1,2,50,0.75,0,0,12,186,142,634,0.57,16,26,17,91,96,0.948,5,5,1,22,95,13,0.88,6,0,1,4,1,13,0,1,12,1,15,1,0,0,1,43,1,6,8
13,2,1,2,50,3,4,75,0.67,0,0,19,83,87,341,0.43,7,13,7,60,64,0.938,6,8,0,13,148,26,0.85,4,1,0,6,0,12,1,0,13,0.923,8,0,0,0,0,21,0,5,15
7,4,3,4,75,3,3,100,0.86,0,0,23,90,89,419,0.49,7,17,7,54,58,0.931,0,0,0,11,120,14,0.9,6,4,2,5,0,11,4,3,7,0.733,12,1,0,0,1,35,1,10,8
4,3,3,3,100,1,3,33.33333333,0.67,0,0,16,158,114,346,0.51,7,14,12,70,76,0.921,3,4,0,19,94,17,0.85,5,2,4,6,0,7,3,4,11,0.7,8,0,0,0,0,24,0,7,12
14,5,2,5,40,1,4,25,0.33,1,0,23,186,152,776,0.67,17,42,9,11,1,0.965,1,1,1,18,82,15,0.85,8,1,0,7,1,7,1,3,9,0.875,11,1,0,0,1,35,1,9,8
0,2,2,2,100,0,2,0,0.5,0,0,17,115,79,372,0.33,6,15,7,44,52,0.846,3,4,0,24,170,42,0.8,7,0,1,8,0,9,3,1,7,0.75,8,0,0,0,0,14,0,7,11
11,1,1,1,100,4,4,100,1,0,0,18,137,113,378,0.5,4,21,5,89,94,0.947,3,4,0,13,113,11,0.91,8,0,2,7,0,7,5,0,9,0.583,10,0,0,0,1,19,1,8,11
10,2,1,2,50,2,2,100,0.75,0,0,23,134,112,245,0.5,4,11,4,81,82,0.988,0,0,0,16,127,21,0.86,7,2,0,8,0,9,0,5,7,1,11,0,0,0,0,18,0,9,10
5,3,3,3,100,0,2,0,0.6,0,0,22,144,137,603,0.51,11,17,17,74,78,0.949,2,3,0,19,109,20,0.84,7,0,0,5,0,10,2,3,10,0.833,11,0,0,0,1,21,1,7,6
6,1,1,1,100,4,4,100,1,0,0,24,129,115,462,0.49,9,20,8,71,78,0.91,3,3,1,23,118,17,0.87,5,0,0,7,1,10,3,2,10,0.769,6,0,0,0,0,19,0,5,11
12,4,3,4,75,2,2,100,0.83,0,0,25,142,113,455,0.53,7,11,15,74,77,0.961,1,1,1,16,87,14,0.86,5,2,1,11,1,10,6,3,20,0.625,13,1,0,0,1,32,1,7,13
9,1,0,1,0,0,0,0,0,0,0,22,111,90,286,0.47,3,14,8,51,60,0.85,3,4,0,22,115,11,0.91,11,1,2,5,0,20,3,6,10,0.87,13,0,0,0,0,5,0,12,13
13,2,2,2,100,0,0,0,1,0,0,19,175,124,453,0.51,7,28,14,82,88,0.932,3,3,1,15,111,13,0.9,5,3,1,6,1,19,3,2,15,0.864,10,0,0,0,1,14,0,8,13
8,3,3,3,100,2,3,66.66666667,0.83,0,0,23,156,109,401,0.49,7,13,6,83,86,0.965,3,3,1,19,114,28,0.8,6,1,3,5,1,15,2,3,19,0.882,13,1,0,0,0,27,1,7,10
3,1,1,1,100,5,7,71.42857143,0.75,1,1,34,82,75,250,0.5,3,5,3,51,56,0.911,8,12,0,15,81,7,0.92,9,1,0,9,0,12,0,5,12,1,8,0,0,0,1,25,1,10,11
1,2,2,2,100,1,2,50,0.75,0,0,27,95,71,204,0.5,0,7,3,50,55,0.909,1,2,0,14,93,5,0.95,9,0,1,9,0,12,5,0,12,0.706,11,0,0,0,0,17,0,9,8
10,2,1,2,50,3,3,100,0.8,0,0,24,126,88,382,0.39,8,23,4,66,68,0.971,1,1,1,16,145,19,0.88,5,0,1,10,1,9,5,0,11,0.643,7,0,0,0,1,21,0,5,10
8,4,3,4,75,1,1,100,0.8,0,0,21,162,147,418,0.61,17,19,16,10,1,0.972,1,1,1,17,83,23,0.78,10,1,0,5,1,11,0,5,9,1,10,0,0,0,0,29,1,11,7
9,5,3,5,60,4,5,80,0.7,0,1,27,179,129,511,0.55,7,14,14,79,86,0.919,3,3,1,15,99,13,0.88,4,1,1,4,1,9,1,2,13,0.9,13,0,0,0,1,43,1,5,10
0,3,3,3,100,4,6,66.66666667,0.78,0,0,24,118,97,419,0.45,8,13,8,56,64,0.875,3,3,1,18,141,14,0.91,4,1,1,4,1,13,2,1,9,0.867,10,1,0,0,0,33,0,5,13
4,1,0,1,0,3,3,100,0.75,0,0,18,170,136,335,0.55,1,13,9,90,95,0.947,3,3,1,13,105,15,0.88,8,1,2,5,1,9,3,4,10,0.75,11,0,0,0,1,14,1,9,12
11,1,1,1,100,2,2,100,1,0,0,20,125,101,248,0.45,4,15,6,70,75,0.933,5,6,0,14,135,13,0.91,5,2,1,8,0,10,4,3,9,0.714,12,0,0,0,0,13,0,7,11
13,4,3,4,75,2,4,50,0.62,0,0,38,127,116,297,0.51,4,18,9,81,84,0.964,5,6,0,14,126,12,0.91,5,0,2,8,0,15,0,1,11,1,8,0,0,0,1,32,1,5,11
14,1,1,1,100,0,0,0,1,0,0,22,127,105,448,0.49,4,12,7,74,79,0.937,1,2,0,16,135,18,0.88,8,2,0,5,0,11,1,0,15,0.917,11,0,0,0,0,7,0,10,8
3,4,3,4,75,3,4,75,0.75,1,1,21,128,109,392,0.53,6,17,10,85,89,0.955,6,6,1,15,103,13,0.89,2,2,4,5,1,10,0,2,10,1,10,0,0,0,1,38,1,4,9
7,1,1,1,100,5,5,100,1,0,0,23,150,100,376,0.47,3,13,8,73,75,0.973,3,3,1,13,116,17,0.87,5,4,2,2,1,10,2,0,10,0.833,9,0,0,0,0,22,0,9,10
2,4,4,4,100,3,3,100,1,0,0,24,91,91,354,0.56,8,22,4,64,67,0.955,6,8,0,14,38,8,0.83,2,4,1,5,0,10,2,5,16,0.833,14,1,0,0,1,37,1,6,8
1,2,2,2,100,3,3,100,1,0,0,31,70,52,221,0.44,2,8,4,32,34,0.941,7,7,1,14,105,22,0.83,5,1,4,2,1,16,5,2,10,0.762,8,1,0,0,0,23,0,6,14
5,5,4,5,80,1,2,50,0.71,0,0,19,166,130,644,0.56,15,33,15,76,78,0.974,1,1,1,13,89,15,0.86,7,1,1,6,1,10,4,0,16,0.714,11,0,0,0,1,36,1,8,6
11,2,2,2,100,2,3,66.66666667,0.8,0,0,22,129,92,279,0.44,8,15,5,55,58,0.948,5,7,0,21,116,33,0.78,6,1,1,7,0,16,0,4,10,1,6,0,0,0,0,20,0,7,11
14,1,1,1,100,4,5,80,0.83,0,0,26,114,82,292,0.55,5,15,7,58,60,0.967,4,4,1,11,88,10,0.9,8,0,0,6,1,15,3,3,13,0.833,12,0,0,0,1,19,0,8,9
4,1,1,1,100,6,6,100,1,0,0,26,112,84,267,0.45,3,10,9,47,49,0.959,5,5,1,14,104,15,0.87,6,0,0,8,1,13,3,3,15,0.812,9,0,0,0,0,25,1,6,12
10,9,6,9,66.66666667,1,2,50,0.64,0,0,27,210,151,735,0.6,18,31,11,98,10,0.951,0,0,0,13,112,21,0.84,2,1,0,2,0,11,1,3,8,0.917,8,0,0,0,1,60,1,3,8
0,3,3,3,100,2,3,66.66666667,0.83,0,0,22,195,136,529,0.4,6,21,18,65,74,0.878,2,2,1,16,170,31,0.85,2,0,1,2,1,8,3,1,11,0.727,8,1,0,0,0,27,0,2,8
6,3,1,3,33.33333333,4,5,80,0.62,0,0,15,135,121,462,0.6,10,29,13,78,82,0.951,4,4,1,12,78,11,0.88,9,0,2,7,1,8,2,1,6,0.8,5,0,0,0,1,29,0,9,13
13,4,4,4,100,1,1,100,1,0,0,20,62,70,298,0.4,6,11,3,46,48,0.958,2,2,1,9,123,29,0.81,7,2,0,9,1,6,1,2,8,0.857,13,2,0,0,0,31,1,9,5
8,3,2,3,66.66666667,3,3,100,0.83,0,1,18,83,79,299,0.4,6,14,5,54,58,0.931,3,5,0,13,120,18,0.87,5,0,3,6,0,13,0,1,11,1,15,2,0,0,1,28,1,5,9
12,2,2,2,100,3,4,75,0.83,0,0,16,158,114,431,0.6,7,18,8,86,88,0.977,0,0,0,8,86,14,0.86,6,3,0,5,0,11,1,0,13,0.917,9,0,0,0,0,23,0,9,15
2,2,2,2,100,7,7,100,1,0,2,31,84,89,359,0.5,3,14,10,56,60,0.933,5,7,0,13,79,12,0.87,7,0,2,4,0,13,1,3,15,0.929,10,0,0,0,1,35,1,7,15
9,2,2,2,100,2,2,100,1,0,0,24,120,89,480,0.5,4,12,13,49,55,0.891,4,4,1,16,86,14,0.86,4,2,0,7,1,15,3,1,13,0.833,15,1,0,0,0,20,0,6,10
6,2,2,2,100,7,8,87.5,0.9,0,1,27,109,100,464,0.36,6,22,8,69,72,0.958,2,2,1,12,216,33,0.87,4,1,0,3,1,6,0,0,7,1,13,1,0,0,1,35,1,5,12
10,3,2,3,66.66666667,4,4,100,0.86,0,0,16,244,180,660,0.64,8,33,17,13,1,0.951,1,1,1,20,112,22,0.84,3,0,1,4,1,7,0,0,6,1,12,0,0,0,0,31,0,3,13
12,4,3,4,75,2,2,100,0.83,0,0,18,133,124,468,0.47,9,20,25,59,60,0.983,2,2,1,15,117,12,0.91,10,1,2,8,1,9,3,1,14,0.75,11,0,0,0,1,32,1,11,10
14,1,0,1,0,1,2,50,0.33,0,0,18,132,114,292,0.53,1,12,13,76,79,0.962,5,6,0,21,87,20,0.81,8,2,1,10,0,14,1,3,9,0.933,10,1,0,0,0,8,0,10,11
7,4,4,4,100,4,5,80,0.89,0,0,17,79,88,255,0.53,3,11,5,58,64,0.906,2,2,1,9,99,11,0.9,9,1,3,5,1,7,3,2,10,0.7,12,0,0,0,1,40,1,10,10
0,3,3,3,100,3,3,100,1,0,0,13,144,124,448,0.47,7,11,10,60,64,0.938,7,8,0,17,96,11,0.9,5,3,1,9,0,10,2,3,7,0.833,10,1,0,0,0,30,0,8,12
8,3,2,3,66.66666667,2,4,50,0.57,0,0,28,132,105,319,0.51,2,16,8,79,83,0.952,2,2,1,12,115,24,0.83,2,1,1,6,1,14,1,5,11,0.933,11,0,0,0,1,25,1,3,11
11,2,1,2,50,1,3,33.33333333,0.4,0,0,26,107,105,433,0.49,5,24,7,74,77,0.961,2,2,1,11,113,16,0.88,6,1,1,2,1,11,5,1,14,0.688,11,1,0,0,0,15,0,7,11
13,2,1,2,50,2,3,66.66666667,0.6,0,0,28,87,93,272,0.47,2,8,3,67,71,0.944,6,6,1,12,139,16,0.9,9,1,1,7,1,11,2,3,7,0.846,10,0,0,0,1,18,1,10,9
5,0,0,0,0,5,5,100,1,0,0,16,126,132,379,0.53,1,16,15,90,94,0.957,0,0,0,19,112,8,0.93,7,1,1,9,0,7,3,2,11,0.7,9,1,0,0,0,15,0,8,10
1,2,2,2,100,3,3,100,1,0,1,19,132,115,459,0.57,3,23,14,71,75,0.947,7,8,0,18,98,17,0.85,13,1,1,3,0,22,2,4,7,0.917,4,0,0,0,1,23,1,14,16
9,2,2,2,100,2,2,100,1,0,0,27,122,88,266,0.43,3,17,6,73,76,0.961,2,3,0,14,97,23,0.81,3,1,1,13,0,7,4,2,22,0.636,16,2,0,0,0,20,0,4,4
3,2,2,2,100,2,2,100,1,1,2,42,96,75,381,0.46,6,12,4,49,51,0.961,7,8,0,10,103,15,0.87,3,3,1,5,0,15,0,2,16,1,10,0,0,0,1,23,1,6,7
2,1,1,1,100,4,5,80,0.83,0,2,40,95,99,352,0.54,3,15,8,62,69,0.899,3,3,1,18,64,12,0.84,5,1,3,3,1,16,2,0,15,0.889,7,0,0,0,0,19,0,6,10
4,3,1,3,33.33333333,3,4,75,0.57,0,0,23,136,107,431,0.4,11,21,9,58,64,0.906,2,3,0,19,157,33,0.83,2,0,1,7,0,11,3,3,11,0.786,9,0,0,0,1,26,0,2,11
10,4,3,4,75,1,3,33.33333333,0.57,0,0,31,150,135,458,0.6,9,34,8,97,98,0.99,2,2,1,7,90,21,0.81,7,1,0,2,1,11,3,3,11,0.786,11,0,0,0,0,29,1,8,9
14,2,2,2,100,6,6,100,1,0,0,27,136,136,496,0.58,7,19,10,10,1,0.963,2,2,1,14,123,8,0.94,3,2,0,5,1,8,0,2,13,1,9,0,0,0,1,32,1,5,11
8,3,3,3,100,1,1,100,1,0,0,23,137,100,316,0.42,4,8,7,67,71,0.944,3,3,1,20,169,19,0.9,5,0,2,3,1,13,2,0,8,0.867,11,1,0,0,0,24,0,5,9
7,3,3,3,100,3,5,60,0.75,0,0,28,122,122,350,0.53,5,22,10,89,91,0.978,2,2,1,15,101,19,0.84,6,0,0,7,1,12,2,0,12,0.857,8,0,0,0,1,30,1,6,13
6,0,0,0,0,4,4,100,1,0,0,25,150,118,325,0.47,2,19,14,74,83,0.892,0,0,0,21,127,22,0.85,7,0,0,6,0,12,0,2,12,1,13,0,0,0,0,12,0,7,8
9,1,1,1,100,4,6,66.66666667,0.71,1,0,35,155,149,537,0.64,2,18,9,10,1,0.972,3,3,1,15,72,14,0.84,8,0,0,7,1,9,2,7,8,0.818,7,0,0,0,1,22,1,8,9
11,2,2,2,100,1,2,50,0.75,0,0,25,90,78,420,0.36,4,14,5,44,48,0.917,2,2,1,17,148,18,0.89,7,0,0,8,1,8,7,2,9,0.533,9,0,0,0,0,17,0,7,7
3,3,2,3,66.66666667,5,5,100,0.88,0,1,28,80,67,135,0.45,1,10,3,48,52,0.923,5,6,0,16,136,23,0.86,7,1,4,4,0,11,0,3,7,1,7,0,0,0,1,34,3,8,12
5,5,3,5,60,1,3,33.33333333,0.5,0,0,17,156,131,687,0.55,12,23,20,80,82,0.976,0,2,0,16,77,10,0.89,4,4,1,7,0,7,3,0,11,0.7,12,1,0,0,0,34,3,8,7
2,2,2,2,100,6,7,85.71428571,0.89,0,0,16,120,116,301,0.55,3,12,12,79,82,0.963,9,10,0,19,119,18,0.87,7,0,4,2,0,14,1,1,8,0.933,9,0,0,0,1,32,1,7,20
12,1,1,1,100,1,3,33.33333333,0.5,0,0,9,139,112,421,0.45,5,18,10,62,69,0.899,2,2,1,23,142,12,0.92,2,4,0,7,1,8,1,1,14,0.889,20,1,0,0,0,10,0,6,9
6,3,3,3,100,4,6,66.66666667,0.78,0,0,19,111,103,333,0.45,4,14,9,56,60,0.933,0,1,0,15,115,15,0.88,5,0,2,8,0,10,1,1,7,0.909,10,0,0,0,1,33,1,5,14
14,3,3,3,100,3,4,75,0.86,0,0,15,106,106,406,0.55,7,15,7,75,79,0.949,2,3,0,19,86,14,0.86,8,2,0,5,0,7,1,1,10,0.875,14,0,0,0,0,30,0,10,10
8,3,1,3,33.33333333,3,4,75,0.57,0,0,33,115,117,364,0.55,8,21,9,90,93,0.968,6,6,1,21,108,18,0.86,5,2,0,8,1,14,0,3,12,1,13,0,0,0,1,26,1,7,8
7,0,0,0,0,3,4,75,0.75,0,0,35,91,103,363,0.45,4,18,6,67,73,0.918,3,3,1,17,140,21,0.87,8,0,2,5,1,12,3,0,14,0.8,8,0,0,0,0,9,0,8,13
10,1,1,1,100,6,6,100,1,0,0,30,179,149,601,0.62,8,24,17,10,1,0.963,0,0,0,17,83,11,0.88,5,1,2,8,0,11,1,2,12,0.917,10,0,0,0,1,25,1,6,8
3,2,2,2,100,2,3,66.66666667,0.8,0,1,28,73,75,280,0.38,3,11,5,49,54,0.907,8,8,1,14,175,24,0.88,8,2,1,5,1,12,2,1,11,0.857,8,0,0,0,0,20,0,10,10
9,2,2,2,100,5,6,83.33333333,0.88,0,1,22,125,95,378,0.44,7,15,7,67,71,0.944,0,0,0,11,131,17,0.89,3,1,0,6,0,12,1,2,7,0.923,9,0,0,0,1,29,0,4,10
13,3,1,3,33.33333333,4,6,66.66666667,0.56,1,0,21,142,117,412,0.56,6,17,8,91,95,0.958,2,2,1,11,87,15,0.85,6,0,1,3,1,7,2,1,12,0.778,10,1,0,0,0,32,1,6,9
0,4,4,4,100,5,7,71.42857143,0.82,0,1,24,117,110,436,0.44,7,19,18,53,60,0.883,3,3,1,6,129,28,0.82,7,0,1,2,1,8,0,2,13,1,12,0,0,0,1,43,3,7,13
5,6,5,6,83.33333333,1,2,50,0.75,0,0,21,157,147,551,0.56,9,28,15,81,87,0.931,4,5,0,15,86,19,0.82,2,1,0,7,0,13,2,0,8,0.867,13,0,0,0,0,43,3,3,12
1,1,1,1,100,0,1,0,0.5,0,1,18,112,94,362,0.61,7,12,17,55,65,0.846,7,8,0,22,50,14,0.78,5,0,2,11,0,16,6,1,8,0.727,8,0,0,0,1,7,0,5,7
4,3,2,3,66.66666667,3,5,60,0.62,0,0,35,93,57,345,0.39,7,14,10,23,26,0.885,1,2,0,16,89,12,0.88,11,2,0,5,0,8,1,6,16,0.889,7,0,0,0,0,28,1,13,8
11,1,0,1,0,2,4,50,0.4,0,0,19,82,67,198,0.43,4,12,2,48,56,0.857,10,1,1,18,113,10,0.92,8,0,1,7,1,14,3,2,14,0.824,11,0,0,0,1,11,0,8,15
